id,title,category,start_date,start_time,end_date,end_time,location,address,district,url,flyer_url,description,contact,featured
asm-2026-spring,Spring Assembly 2026,assembly,2026-06-07,9:00 AM,2026-06-07,4:00 PM,Area Service Center,123 Main St San Diego CA 92101,,,,"Quarterly area assembly. GSRs DCMs officers and chairs report. Lunch provided.",assembly-chair@msca09aa.org,yes
wkshp-traditions-2026,Traditions Workshop,workshop,2026-05-30,10:00 AM,2026-05-30,12:30 PM,Online (Zoom),Zoom — link sent to GSRs,8,,,"Roundtable workshop on the Twelve Traditions for new GSRs and any interested A.A. member.",pi-chair@msca09aa.org,no
pi-cpc-monthly-2026-06,PI/CPC Committee Meeting,committee,2026-06-12,7:00 PM,2026-06-12,8:30 PM,Hybrid,Hosted online with in-person option,,,,"Monthly Public Information / Cooperation with the Professional Community committee meeting. All welcome.",picpc@msca09aa.org,no
treatment-monthly-2026-06,Treatment Committee Meeting,committee,2026-06-15,6:30 PM,2026-06-15,8:00 PM,Area Service Center,123 Main St San Diego CA 92101,,,,"Treatment committee monthly meeting. Discussion of facility outreach and Bridging the Gap.",treatment@msca09aa.org,no
soco-2026-convention,Southern California Convention,convention,2026-08-21,5:00 PM,2026-08-23,12:00 PM,Convention Center,222 Harbor Dr Long Beach CA 90802,,https://example.org/socal-convention,,"Annual Southern California A.A. Convention — speakers panels marathon meetings dance and banquet.",info@example.org,yes
corrections-2026-07,Corrections Committee Meeting,committee,2026-07-08,7:00 PM,2026-07-08,8:30 PM,Online (Zoom),Zoom — contact chair for link,,,,"Monthly corrections committee. Bridging the Gap volunteers welcome.",corrections@msca09aa.org,no
asm-2026-summer,Summer Assembly 2026,assembly,2026-09-13,9:00 AM,2026-09-13,4:00 PM,District 12 Host Club,4500 Park Blvd San Diego CA 92116,12,,,"Summer area assembly. Delegate report from the General Service Conference.",assembly-chair@msca09aa.org,yes
accessibility-2026-06,Accessibilities Workshop,workshop,2026-06-21,1:00 PM,2026-06-21,3:00 PM,Library Community Room,200 W Mission Ave Escondido CA 92025,,,,"Workshop on carrying the message to A.A. members with accessibility needs. Open to all.",accessibilities@msca09aa.org,no
grapevine-2026-monthly,Grapevine / La Viña Committee,committee,2026-06-27,11:00 AM,2026-06-27,12:30 PM,Online (Zoom),Zoom — contact chair for link,,,,"Monthly Grapevine/La Viña representatives meeting.",grapevine@msca09aa.org,no
asm-2026-fall,Fall Assembly & Elections,assembly,2026-11-08,9:00 AM,2026-11-08,5:00 PM,Area Service Center,123 Main St San Diego CA 92101,,,,"Fall area assembly with elections for the upcoming 2027–2028 rotation.",chair@msca09aa.org,yes
unity-day-2026,Area Unity Day,workshop,2026-10-18,9:00 AM,2026-10-18,3:00 PM,District 4 Alano Club,800 Front St Chula Vista CA 91910,4,,,"Unity Day — workshops sharing sessions and fellowship across districts.",chair@msca09aa.org,no
archives-2026-07,Archives Workday,committee,2026-07-25,10:00 AM,2026-07-25,2:00 PM,Area Archives,123 Main St San Diego CA 92101 (rear suite),,,,"Hands-on day organizing photographs minutes and historical materials. Light snacks provided.",archives@msca09aa.org,no
