name,day,time,address,city,district,types,notes
Came to Believe,Sunday,8:00 AM,1234 Beach Blvd,San Diego,1,"Open|Discussion","Coffee served from 7:30"
Sunday Speaker Meeting,Sunday,7:00 PM,5500 Friars Rd,San Diego,1,"Open|Speaker",
Monday Big Book Study,Monday,7:00 PM,432 Main St,Chula Vista,4,"Closed|Big Book","Newcomer-friendly"
Mission Valley Noon Group,Monday,12:00 PM,801 Camino Del Rio S,San Diego,1,"Open|Discussion",
Living Sober,Tuesday,6:30 PM,200 W Mission Ave,Escondido,8,"Open|Step Study",
Tuesday Tradition Study,Tuesday,7:30 PM,1011 Camino Del Mar,Del Mar,12,"Open|Tradition Study","Last Tues each month is a speaker"
Wednesday Women's Group,Wednesday,10:00 AM,4500 Park Blvd,San Diego,12,"Closed|Women","Women only — childcare available"
Wednesday Open Speaker,Wednesday,8:00 PM,800 Front St,Chula Vista,4,"Open|Speaker",
Spanish-speaking Group,Wednesday,7:00 PM,1900 University Ave,San Diego,1,"Open|Discussion|Spanish",
Thursday Beginners,Thursday,6:00 PM,2424 Hoover Ave,National City,4,"Open|Beginner","Especially for newcomers"
Friday Night Survivors,Friday,8:00 PM,3636 Adams Ave,San Diego,12,"Open|Discussion",
Friday LGBTQ+ Meeting,Friday,7:00 PM,3909 Centre St,San Diego,1,"Closed|LGBTQ+",
Saturday Morning Step Group,Saturday,7:30 AM,222 Harbor Dr,Long Beach,15,"Open|Step Study","Coffee donations appreciated"
Saturday Young People's,Saturday,7:30 PM,1200 W Lewis St,San Diego,1,"Open|Young People",
North County Open,Sunday,10:30 AM,500 N Coast Hwy,Oceanside,16,"Open|Discussion",
