name,position,type,district,email,bio,sort
,Delegate (Panel 75),officer,,delegate@msca09aa.org,Represents Area 09 at the annual General Service Conference.,1
,Alternate Delegate,officer,,alt-delegate@msca09aa.org,Supports the Delegate and steps in as needed.,2
,Area Chair,officer,,chair@msca09aa.org,Chairs Area assemblies and the area committee.,3
,Area Registrar,officer,,registrar@msca09aa.org,Maintains the group/GSR list and updates the General Service Office.,4
,Recording Secretary,officer,,secretary@msca09aa.org,Records minutes of area assemblies and area committee meetings.,5
,Treasurer,officer,,treasurer@msca09aa.org,Maintains the Area's books and reports on contributions.,6
,Public Information Chair,chair,,pi@msca09aa.org,Coordinates A.A. public information outreach.,10
,Cooperation with the Professional Community Chair,chair,,cpc@msca09aa.org,Liaises with professionals who work with alcoholics.,11
,Treatment Chair,chair,,treatment@msca09aa.org,Carries the A.A. message into treatment facilities.,12
,Corrections Chair,chair,,corrections@msca09aa.org,Carries the A.A. message into correctional facilities.,13
,Accessibilities Chair,chair,,accessibilities@msca09aa.org,Ensures A.A. is accessible to members with special needs.,14
,Archives Chair,chair,,archives@msca09aa.org,Preserves Area 09 history and records.,15
,Grapevine / La Viña Chair,chair,,grapevine@msca09aa.org,Promotes A.A.'s international journals.,16
,Literature Chair,chair,,literature@msca09aa.org,Coordinates Conference-approved literature distribution.,17
,Website / Technology Chair,chair,,webmaster@msca09aa.org,Maintains this website and supporting technology.,18
,District 1 DCM,dcm,1,d01@msca09aa.org,,30
,District 4 DCM,dcm,4,d04@msca09aa.org,,31
,District 8 DCM,dcm,8,d08@msca09aa.org,,32
,District 12 DCM,dcm,12,d12@msca09aa.org,,33
,District 15 DCM,dcm,15,d15@msca09aa.org,,34
,District 16 DCM,dcm,16,d16@msca09aa.org,,35
